Report Date,Load Type,Load Weight,Dropoff Site,Route Type,Route Number,day_of_week,month,quarter,is_weekend,rolling_7_load_weight
1042416,17,20170.0,2,20,900,0,1,1,0,20170.0
1093392,7,16640.0,28,9,653,2,8,3,0,18405.0
1093392,7,16780.0,28,9,652,2,8,3,0,17863.333333333332
1093392,7,4980.0,28,9,654,2,8,3,0,14642.5
1093392,7,8620.0,28,9,445,2,8,3,0,13438.0
1093478,7,20580.0,28,9,495,3,8,3,0,14628.333333333334
1093478,7,31920.0,28,9,496,3,8,3,0,17098.571428571428
1093824,14,4580.0,18,18,1118,0,8,3,0,14871.42857142857
1096416,7,26640.0,28,9,827,2,9,3,0,16300.0
1096416,7,18100.0,28,9,825,2,9,3,0,16488.571428571428
1096502,7,34980.0,28,9,731,3,9,3,0,20774.285714285714
1096502,7,26040.0,28,9,728,3,9,3,0,23262.85714285714
1096502,7,23620.0,28,9,730,3,9,3,0,23697.14285714286
1096588,20,12820.0,14,35,1386,4,10,4,0,20968.571428571428
1096588,14,4420.0,18,18,859,4,10,4,0,20945.714285714286
1096588,7,19720.0,28,9,701,4,10,4,0,19957.14285714286
1096588,7,4560.0,28,9,464,4,10,4,0,18022.85714285714
1096588,20,6840.0,14,35,1379,4,10,4,0,14002.857142857143
1096588,7,10500.0,28,9,430,4,10,4,0,11782.857142857143
1096588,14,2340.0,18,18,851,4,10,4,0,8742.857142857143
1096588,14,1800.0,18,18,852,4,10,4,0,7168.571428571428
1096588,15,4940.0,18,18,858,4,10,4,0,7242.857142857143
1096588,14,1580.0,18,20,107,4,10,4,0,4651.428571428572
1096588,7,9160.0,28,9,537,4,10,4,0,5308.571428571428
1096588,15,3100.0,18,18,861,4,10,4,0,4774.285714285715
1096588,15,2760.0,18,18,863,4,10,4,0,3668.5714285714284
1096588,7,5400.0,28,9,464,4,10,4,0,4105.714285714285
1096588,14,4980.0,18,18,854,4,10,4,0,4560.0
1096588,20,9560.0,14,35,1380,4,10,4,0,5220.0
1096588,7,23860.0,28,9,434,4,10,4,0,8402.857142857143
1096588,7,18000.0,28,9,687,4,10,4,0,9665.714285714286
1096588,14,5060.0,18,18,861,4,10,4,0,9945.714285714286
1096588,7,19420.0,28,9,456,4,10,4,0,12325.714285714286
1096588,15,1780.0,18,20,107,4,10,4,0,11808.57142857143
